OrphaCode,DisorderName,DisorderType,HPOTerm0,HPOFrequency0,HPOTerm1,HPOFrequency1,HPOTerm2,HPOFrequency2,HPOTerm3,HPOFrequency3,HPOTerm4,HPOFrequency4,HPOTerm5,HPOFrequency5,HPOTerm6,HPOFrequency6,HPOTerm7,HPOFrequency7,HPOTerm8,HPOFrequency8,HPOTerm9,HPOFrequency9,HPOTerm10,HPOFrequency10,HPOTerm11,HPOFrequency11
2570,Lethal intrauterine growth restriction-cortical malformation-congenital contractures syndrome,Malformation syndrome,Microcephaly,Very frequent (99-80%),Sloping forehead,Frequent (79-30%),Micrognathia,Occasional (29-5%),Low-set ears,Frequent (79-30%),Short neck,Frequent (79-30%),Deeply set eye,Occasional (29-5%),Blepharophimosis,Occasional (29-5%),Adducted thumb,Occasional (29-5%),Holoprosencephaly,Very frequent (99-80%),Limitation of joint mobility,Very frequent (99-80%),Intrauterine growth retardation,Occasional (29-5%),Decreased fetal movement,Very frequent (99-80%)
2508,Corpus callosum agenesis-abnormal genitalia syndrome,Malformation syndrome,Inguinal hernia,Occasional (29-5%),Hypospadias,Occasional (29-5%),Renal dysplasia,Occasional (29-5%),Microcephaly,Very frequent (99-80%),Coarse facial features,Frequent (79-30%),Protruding ear,Frequent (79-30%),Strabismus,Frequent (79-30%),Nystagmus,Frequent (79-30%),Seizures,Very frequent (99-80%),Spasticity,Very frequent (99-80%),Agenesis of corpus callosum,Very frequent (99-80%),Cerebral cortical atrophy,Occasional (29-5%)
2505,Multiple benign circumferential skin creases on limbs,Disease,Inguinal hernia,Occasional (29-5%),Cryptorchidism,Occasional (29-5%),Abnormality of the scrotum,Occasional (29-5%),Scrotal hypoplasia,Occasional (29-5%),Hypospadias,Occasional (29-5%),Cleft palate,Frequent (79-30%),Microcephaly,Occasional (29-5%),Abnormality of the face,Occasional (29-5%),Epicanthus,Occasional (29-5%),Long philtrum,Occasional (29-5%),Micrognathia,Occasional (29-5%),"Low-set, posteriorly rotated ears",Occasional (29-5%)
2510,Micro syndrome,Malformation syndrome,Cryptorchidism,Very frequent (99-80%),Clitoral hypoplasia,Frequent (79-30%),Hypoplastic labia minora,Frequent (79-30%),Hydronephrosis,Occasional (29-5%),High palate,Very frequent (99-80%),Microcephaly,Very frequent (99-80%),Short philtrum,Very frequent (99-80%),Micrognathia,Frequent (79-30%),"Low-set, posteriorly rotated ears",Frequent (79-30%),Macrotia,Frequent (79-30%),Wide nasal bridge,Very frequent (99-80%),Anteverted nares,Very frequent (99-80%)
2522,Microcephaly-cervical spine fusion anomalies syndrome,Malformation syndrome,Hypospadias,Frequent (79-30%),Abnormality of the ureter,Frequent (79-30%),Microcephaly,Very frequent (99-80%),Sloping forehead,Very frequent (99-80%),Micrognathia,Very frequent (99-80%),Low-set ears,Very frequent (99-80%),Convex nasal ridge,Very frequent (99-80%),Short neck,Frequent (79-30%),Ptosis,Frequent (79-30%),Proptosis,Very frequent (99-80%),Pectus excavatum,Very frequent (99-80%),Abnormality of the ribs,Very frequent (99-80%)
2518,Autosomal recessive chorioretinopathy-microcephaly syndrome,Malformation syndrome,Microcephaly,Very frequent (99-80%),Pointed chin,Frequent (79-30%),Sloping forehead,Frequent (79-30%),Protruding ear,Frequent (79-30%),Wide nasal bridge,Frequent (79-30%),Anteverted nares,Frequent (79-30%),Strabismus,Frequent (79-30%),Abnormality of the eyelashes,Frequent (79-30%),Visual impairment,Frequent (79-30%),Nystagmus,Frequent (79-30%),Optic atrophy,Frequent (79-30%),Intellectual disability,Frequent (79-30%)
2528,"Microcephaly-microcornea syndrome, Seemanova type",Malformation syndrome,Hypogonadism,Very frequent (99-80%),Narrow mouth,Very frequent (99-80%),High palate,Very frequent (99-80%),Brachycephaly,Very frequent (99-80%),Microcephaly,Very frequent (99-80%),Retrognathia,Very frequent (99-80%),Epicanthus,Very frequent (99-80%),Microcornea,Very frequent (99-80%),Cataract,Very frequent (99-80%),Microphthalmia,Very frequent (99-80%),Upslanted palpebral fissure,Very frequent (99-80%),Growth delay,Very frequent (99-80%)
2632,Langer mesomelic dysplasia,Malformation syndrome,High palate,Very frequent (99-80%),Abnormality of the carpal bones,Very frequent (99-80%),Micromelia,Very frequent (99-80%),Abnormality of the ulna,Very frequent (99-80%),Madelung deformity,Very frequent (99-80%),Severe short stature,Very frequent (99-80%),Mesomelic/rhizomelic limb shortening,Very frequent (99-80%),Abnormality of epiphysis morphology,Very frequent (99-80%),Bowing of the long bones,Very frequent (99-80%),Aplasia/Hypoplasia of the fibula,Very frequent (99-80%),Disproportionate short-limb short stature,Very frequent (99-80%),Ulnar deviation of finger,Very frequent (99-80%)
2633,"Mesomelic dysplasia, Nievergelt type",Malformation syndrome,Brachycephaly,Occasional (29-5%),Dolichocephaly,Occasional (29-5%),Strabismus,Occasional (29-5%),Sacral dimple,Occasional (29-5%),Intellectual disability,Occasional (29-5%),Limitation of joint mobility,Very frequent (99-80%),Scoliosis,Occasional (29-5%),Genu valgum,Very frequent (99-80%),Genu varum,Occasional (29-5%),Radioulnar synostosis,Very frequent (99-80%),Micromelia,Very frequent (99-80%),Abnormality of fibula morphology,Very frequent (99-80%)
2617,"Microcephalic primordial dwarfism, Montreal type",Malformation syndrome,Cryptorchidism,Very frequent (99-80%),Abnormal palate morphology,Very frequent (99-80%),Microcephaly,Very frequent (99-80%),Micrognathia,Very frequent (99-80%),"Low-set, posteriorly rotated ears",Very frequent (99-80%),Convex nasal ridge,Very frequent (99-80%),Ptosis,Very frequent (99-80%),Carious teeth,Very frequent (99-80%),Dry skin,Very frequent (99-80%),Hyperhidrosis,Very frequent (99-80%),Intellectual disability,Very frequent (99-80%),Hypertonia,Very frequent (99-80%)
2631,Mesomelic dwarfism-cleft palate-camptodactyly syndrome,Malformation syndrome,Cleft palate,Very frequent (99-80%),Thin vermilion border,Frequent (79-30%),Retrognathia,Very frequent (99-80%),"Low-set, posteriorly rotated ears",Frequent (79-30%),Overfolded helix,Frequent (79-30%),Abnormality of the metaphysis,Frequent (79-30%),Pulmonary hypoplasia,Frequent (79-30%),Abnormal lung lobation,Frequent (79-30%),Mesomelia,Very frequent (99-80%),Elbow dislocation,Very frequent (99-80%),Abnormality of the hip bone,Very frequent (99-80%),Vertebral segmentation defect,Frequent (79-30%)
2643,"Microcephalic primordial dwarfism, Toriello type",Malformation syndrome,Microcephaly,Very frequent (99-80%),Downslanted palpebral fissures,Very frequent (99-80%),Cataract,Very frequent (99-80%),Abnormality of the ribs,Frequent (79-30%),Brachydactyly,Very frequent (99-80%),Intellectual disability,Very frequent (99-80%),Muscular hypotonia,Frequent (79-30%),Intrauterine growth retardation,Very frequent (99-80%),Neutropenia,Frequent (79-30%),Ventriculomegaly,Frequent (79-30%),Recurrent respiratory infections,Very frequent (99-80%),Downturned corners of mouth,Frequent (79-30%)
2645,Osteoglosphonic dysplasia,Malformation syndrome,Inguinal hernia,Occasional (29-5%),Cryptorchidism,Occasional (29-5%),Hypertelorism,Very frequent (99-80%),Micrognathia,Frequent (79-30%),Protruding ear,Frequent (79-30%),Choanal atresia,Occasional (29-5%),Anteverted nares,Frequent (79-30%),Abnormality of the clavicle,Frequent (79-30%),Brachydactyly,Occasional (29-5%),Intellectual disability,Occasional (29-5%),Craniosynostosis,Very frequent (99-80%),Failure to thrive in infancy,Frequent (79-30%)
2634,"Mesomelic dwarfism, Reinhardt-Pfeiffer type",Malformation syndrome,Strabismus,Occasional (29-5%),Myopia,Occasional (29-5%),Micromelia,Very frequent (99-80%),Abnormality of tibia morphology,Very frequent (99-80%),Abnormality of the ulna,Very frequent (99-80%),Hypoplasia of the ulna,Very frequent (99-80%),Fibular hypoplasia,Very frequent (99-80%),Elbow dislocation,Very frequent (99-80%),Radial head subluxation,Very frequent (99-80%),Disproportionate short stature,Very frequent (99-80%),Synostosis of carpal bones,Frequent (79-30%),Ulnar deviation of finger,Very frequent (99-80%)
2639,Fibular aplasia-complex brachydactyly syndrome,Malformation syndrome,Narrow nasal bridge,Very frequent (99-80%),Brachydactyly,Very frequent (99-80%),Abnormal thumb morphology,Very frequent (99-80%),Limitation of joint mobility,Very frequent (99-80%),Abnormality of the radius,Very frequent (99-80%),Micromelia,Very frequent (99-80%),Abnormality of tibia morphology,Very frequent (99-80%),Abnormality of the ulna,Very frequent (99-80%),Abnormality of the hip bone,Very frequent (99-80%),Short stature,Very frequent (99-80%),Synostosis of carpal bones,Very frequent (99-80%),Abnormality of epiphysis morphology,Very frequent (99-80%)
2578,Mayer-Rokitansky-K�ster-Hauser syndrome type 2,Clinical subtype,Azoospermia,Very frequent (99-80%),Ectopic kidney,Very frequent (99-80%),Renal agenesis,Very frequent (99-80%),Renal dysplasia,Very frequent (99-80%),Hearing impairment,Occasional (29-5%),Short neck,Very frequent (99-80%),Abnormality of the ribs,Frequent (79-30%),Bicornuate uterus,Very frequent (99-80%),Low posterior hairline,Very frequent (99-80%),Vertebral segmentation defect,Frequent (79-30%),Short stature,Very frequent (99-80%),Aplasia/hypoplasia of the uterus,Very frequent (99-80%)
575,Muckle-Wells syndrome,Disease,Abnormality of the genital system,Occasional (29-5%),Nephrotic syndrome,Frequent (79-30%),Nephropathy,Frequent (79-30%),Abnormal palate morphology,Occasional (29-5%),Macrocephaly,Occasional (29-5%),Abnormality of the nose,Occasional (29-5%),Progressive sensorineural hearing impairment,Very frequent (99-80%),Glaucoma,Occasional (29-5%),Conjunctivitis,Very frequent (99-80%),Uveitis,Very frequent (99-80%),Optic atrophy,Occasional (29-5%),Delayed puberty,Occasional (29-5%)
2616,3M syndrome,Malformation syndrome,Hypospadias,Occasional (29-5%),Decreased fertility,Occasional (29-5%),Everted lower lip vermilion,Very frequent (99-80%),Dolichocephaly,Frequent (79-30%),Pointed chin,Frequent (79-30%),Triangular face,Very frequent (99-80%),Broad forehead,Very frequent (99-80%),Long philtrum,Frequent (79-30%),Protruding ear,Frequent (79-30%),Bulbous nose,Very frequent (99-80%),Anteverted nares,Very frequent (99-80%),Short neck,Very frequent (99-80%)
2585,Ataxia-pancytopenia syndrome,Malformation syndrome,Microcephaly,Occasional (29-5%),Nystagmus,Frequent (79-30%),Ataxia,Very frequent (99-80%),Cerebellar atrophy,Very frequent (99-80%),Gait disturbance,Very frequent (99-80%),Hyperreflexia,Frequent (79-30%),Splenomegaly,Frequent (79-30%),Abnormality of neutrophils,Frequent (79-30%),Pancytopenia,Occasional (29-5%),Hypoplastic anemia,Frequent (79-30%),Neurological speech impairment,Frequent (79-30%),Recurrent respiratory infections,Frequent (79-30%)
2701,Noonan syndrome-like disorder with loose anagen hair,Malformation syndrome,Cryptorchidism,Occasional (29-5%),Abnormal palate morphology,Occasional (29-5%),Thick lower lip vermilion,Occasional (29-5%),Thin vermilion border,Occasional (29-5%),Hydrocephalus,Frequent (79-30%),Epicanthus,Frequent (79-30%),Hypertelorism,Occasional (29-5%),Hearing impairment,Occasional (29-5%),"Low-set, posteriorly rotated ears",Very frequent (99-80%),Macrotia,Frequent (79-30%),Anteverted nares,Frequent (79-30%),Webbed neck,Very frequent (99-80%)
2712,Oculofaciocardiodental syndrome,Malformation syndrome,Abnormality of the dentition,Very frequent (99-80%),Abnormal palate morphology,Frequent (79-30%),Cleft palate,Frequent (79-30%),Submucous cleft hard palate,Frequent (79-30%),Narrow face,Frequent (79-30%),Long philtrum,Frequent (79-30%),Hearing impairment,Occasional (29-5%),Sensorineural hearing impairment,Occasional (29-5%),Prominent nasal bridge,Frequent (79-30%),Bifid nasal tip,Very frequent (99-80%),Microcornea,Very frequent (99-80%),Glaucoma,Occasional (29-5%)
2710,Oculodentodigital dysplasia,Malformation syndrome,Neurogenic bladder,Frequent (79-30%),Median cleft lip,Frequent (79-30%),Cleft palate,Very frequent (99-80%),Broad alveolar ridges,Frequent (79-30%),Epicanthus,Occasional (29-5%),Mandibular prognathia,Frequent (79-30%),Hypertelorism,Frequent (79-30%),Micrognathia,Occasional (29-5%),High forehead,Frequent (79-30%),Hearing impairment,Occasional (29-5%),Abnormality of the nose,Very frequent (99-80%),Conductive hearing impairment,Frequent (79-30%)
2662,Keipert syndrome,Malformation syndrome,Macrocephaly,Frequent (79-30%),Epicanthus,Frequent (79-30%),Hypertelorism,Very frequent (99-80%),Hypoplasia of the maxilla,Frequent (79-30%),Broad forehead,Very frequent (99-80%),Sensorineural hearing impairment,Very frequent (99-80%),Prominent nasal bridge,Very frequent (99-80%),Ptosis,Frequent (79-30%),Behavioral abnormality,Occasional (29-5%),Hoarse voice,Frequent (79-30%),Exaggerated cupid's bow,Frequent (79-30%),Malformation of the heart and great vessels,Frequent (79-30%)
2673,Neurofaciodigitorenal syndrome,Malformation syndrome,Cryptorchidism,Frequent (79-30%),Unilateral renal agenesis,Frequent (79-30%),Brachycephaly,Very frequent (99-80%),Epicanthus,Frequent (79-30%),Abnormality of the philtrum,Frequent (79-30%),Mandibular prognathia,Frequent (79-30%),Hypertelorism,Frequent (79-30%),Low-set ears,Very frequent (99-80%),Atresia of the external auditory canal,Very frequent (99-80%),Prominent nasal bridge,Very frequent (99-80%),Downslanted palpebral fissures,Frequent (79-30%),Ptosis,Frequent (79-30%)
1475,Renal coloboma syndrome,Malformation syndrome,Multicystic kidney dysplasia,Frequent (79-30%),Vesicoureteral reflux,Frequent (79-30%),Renal insufficiency,Very frequent (99-80%),Renal hypoplasia,Frequent (79-30%),Renal dysplasia,Frequent (79-30%),Hearing impairment,Occasional (29-5%),Retinal coloboma,Occasional (29-5%),Strabismus,Occasional (29-5%),Visual impairment,Frequent (79-30%),Myopia,Frequent (79-30%),Optic nerve coloboma,Occasional (29-5%),Nystagmus,Occasional (29-5%)
3301,Tetraamelia-multiple malformations syndrome,Malformation syndrome,Multicystic kidney dysplasia,Frequent (79-30%),Cryptorchidism,Frequent (79-30%),Vaginal atresia,Frequent (79-30%),Narrow mouth,Frequent (79-30%),Oral cleft,Very frequent (99-80%),Hydrocephalus,Very frequent (99-80%),Micrognathia,Frequent (79-30%),Microcornea,Frequent (79-30%),Cataract,Frequent (79-30%),Microphthalmia,Frequent (79-30%),Iris coloboma,Frequent (79-30%),Optic atrophy,Frequent (79-30%)
3312,Thalidomide embryopathy,Malformation syndrome,Abnormality of the outer ear,Occasional (29-5%),Hearing impairment,Occasional (29-5%),Insulin resistance,Occasional (29-5%),Split hand,Frequent (79-30%),Preaxial hand polydactyly,Frequent (79-30%),Triphalangeal thumb,Frequent (79-30%),Chronic rhinitis,Occasional (29-5%),Malformation of the heart and great vessels,Frequent (79-30%),Abnormality of fibula morphology,Frequent (79-30%),Radial club hand,Frequent (79-30%),Short stature,Frequent (79-30%),Aplasia/hypoplasia of the femur,Frequent (79-30%)
3268,Radioulnar synostosis-microcephaly-scoliosis syndrome,Malformation syndrome,Abnormality of the dentition,Very frequent (99-80%),Microcephaly,Very frequent (99-80%),Epicanthus,Very frequent (99-80%),Abnormality of the philtrum,Very frequent (99-80%),Thick eyebrow,Very frequent (99-80%),Synophrys,Very frequent (99-80%),Pectus carinatum,Very frequent (99-80%),Abnormality of the ribs,Very frequent (99-80%),Intellectual disability,Very frequent (99-80%),Global developmental delay,Very frequent (99-80%),Premature birth,Very frequent (99-80%),Scoliosis,Very frequent (99-80%)
3267,Familial lambdoid synostosis,Morphological anomaly,Hydrocephalus,Occasional (29-5%),Facial asymmetry,Occasional (29-5%),Protruding ear,Occasional (29-5%),Telecanthus,Occasional (29-5%),Blepharophimosis,Occasional (29-5%),Intellectual disability,Occasional (29-5%),Muscular hypotonia,Frequent (79-30%),Hypertonia,Occasional (29-5%),Plagiocephaly,Very frequent (99-80%),Downturned corners of mouth,Occasional (29-5%),Stomatocytosis,Very frequent (99-80%),Flat occiput,Very frequent (99-80%)
3270,Radioulnar synostosis-developmental delay-hypotonia syndrome,Malformation syndrome,Multicystic kidney dysplasia,Frequent (79-30%),Abnormality of the dentition,Frequent (79-30%),Abnormal palate morphology,Very frequent (99-80%),Macrocephaly,Very frequent (99-80%),Dolichocephaly,Very frequent (99-80%),Narrow face,Very frequent (99-80%),Hearing abnormality,Very frequent (99-80%),Protruding ear,Very frequent (99-80%),Prominent nasal bridge,Very frequent (99-80%),Prominent nose,Very frequent (99-80%),Strabismus,Very frequent (99-80%),Carious teeth,Frequent (79-30%)
3344,Weismann-Netter syndrome,Malformation syndrome,Abnormality of the thyroid gland,Occasional (29-5%),Intellectual disability,Frequent (79-30%),Anemia,Occasional (29-5%),Scoliosis,Frequent (79-30%),Kyphosis,Frequent (79-30%),Abnormality of femur morphology,Frequent (79-30%),Femoral bowing,Frequent (79-30%),Tibial bowing,Very frequent (99-80%),Abnormality of fibula morphology,Very frequent (99-80%),Abnormality of tibia morphology,Very frequent (99-80%),Abnormality of the ulna,Occasional (29-5%),Abnormality of the humerus,Occasional (29-5%)
3332,Hypoplastic tibiae-postaxial polydactyly syndrome,Malformation syndrome,Depressed nasal tip,Occasional (29-5%),Postaxial hand polydactyly,Very frequent (99-80%),Preaxial hand polydactyly,Frequent (79-30%),Triphalangeal thumb,Occasional (29-5%),Limitation of joint mobility,Occasional (29-5%),Abnormality of fibula morphology,Very frequent (99-80%),Clinodactyly of the 5th finger,Very frequent (99-80%),Short stature,Occasional (29-5%),Short tibia,Very frequent (99-80%),Finger syndactyly,Very frequent (99-80%),Bowing of the long bones,Very frequent (99-80%),Aplasia/Hypoplasia of the thumb,Occasional (29-5%)
3353,Trichodermodysplasia-dental alterations syndrome,Malformation syndrome,Abnormality of female internal genitalia,Occasional (29-5%),Delayed eruption of teeth,Frequent (79-30%),Palmoplantar keratoderma,Frequent (79-30%),Sparse scalp hair,Very frequent (99-80%),Fine hair,Very frequent (99-80%),Brittle hair,Very frequent (99-80%),Scoliosis,Frequent (79-30%),Abnormality of the hip bone,Occasional (29-5%),Hyperlordosis,Frequent (79-30%),Sparse lateral eyebrow,Frequent (79-30%),Abnormality of dental morphology,Very frequent (99-80%),Multiple cafe-au-lait spots,Occasional (29-5%)
3329,Tibial aplasia-ectrodactyly syndrome,Malformation syndrome,Overfolded helix,Occasional (29-5%),Brachydactyly,Occasional (29-5%),Postaxial hand polydactyly,Occasional (29-5%),Split hand,Very frequent (99-80%),Preaxial hand polydactyly,Occasional (29-5%),Limitation of joint mobility,Frequent (79-30%),Omphalocele,Occasional (29-5%),Abnormality of femur morphology,Occasional (29-5%),Femoral bowing,Occasional (29-5%),Abnormality of fibula morphology,Occasional (29-5%),Fibular hypoplasia,Occasional (29-5%),Short femur,Occasional (29-5%)
3322,Hoyeraal-Hreidarsson syndrome,Disease,Microcephaly,Very frequent (99-80%),Intellectual disability,Very frequent (99-80%),Ataxia,Occasional (29-5%),Global developmental delay,Very frequent (99-80%),Hyporeflexia,Occasional (29-5%),Hypertonia,Frequent (79-30%),Cerebellar hypoplasia,Very frequent (99-80%),Failure to thrive,Very frequent (99-80%),Intrauterine growth retardation,Very frequent (99-80%),Thrombocytopenia,Very frequent (99-80%),Abnormal leukocyte morphology,Occasional (29-5%),Anemia,Frequent (79-30%)
3409,Urban-Rogers-Meyer syndrome,Malformation syndrome,Cryptorchidism,Frequent (79-30%),Hypogonadism,Very frequent (99-80%),Epicanthus,Frequent (79-30%),Abnormality of the philtrum,Occasional (29-5%),Micrognathia,Occasional (29-5%),Prominent nasal bridge,Frequent (79-30%),Short neck,Frequent (79-30%),Strabismus,Frequent (79-30%),Osteoporosis,Very frequent (99-80%),Abnormal diaphysis morphology,Frequent (79-30%),Brachydactyly,Frequent (79-30%),Intellectual disability,Very frequent (99-80%)
3374,Triopia,Morphological anomaly,Median cleft lip,Very frequent (99-80%),Abnormality of the fontanelles or cranial sutures,Very frequent (99-80%),Macrocephaly,Very frequent (99-80%),Dolichocephaly,Very frequent (99-80%),Hypertelorism,Very frequent (99-80%),Microcornea,Very frequent (99-80%),Abnormality of the eyebrow,Very frequent (99-80%),Blepharophimosis,Very frequent (99-80%),Abnormal pupil morphology,Very frequent (99-80%),Abnormality of the skin,Very frequent (99-80%),Polyhydramnios,Very frequent (99-80%),Laryngomalacia,Very frequent (99-80%)
3453,Autoimmune polyendocrinopathy type 1,Disease,Visual impairment,Very frequent (99-80%),Cataract,Frequent (79-30%),Photophobia,Very frequent (99-80%),Hypoparathyroidism,Very frequent (99-80%),Hypopigmented skin patches,Occasional (29-5%),Abnormal fingernail morphology,Very frequent (99-80%),Hypercortisolism,Very frequent (99-80%),Alopecia,Occasional (29-5%),Cerebral calcification,Occasional (29-5%),Chronic mucocutaneous candidiasis,Very frequent (99-80%),Autoimmunity,Very frequent (99-80%),Decreased circulating aldosterone level,Very frequent (99-80%)
3454,Intellectual disability-developmental delay-contractures syndrome,Malformation syndrome,Strabismus,Occasional (29-5%),Abnormality of eye movement,Very frequent (99-80%),Ptosis,Occasional (29-5%),Oculomotor apraxia,Very frequent (99-80%),"Intellectual disability, mild",Very frequent (99-80%),Global developmental delay,Very frequent (99-80%),Limitation of joint mobility,Very frequent (99-80%),Neurological speech impairment,Very frequent (99-80%),Scoliosis,Occasional (29-5%),Kyphosis,Occasional (29-5%),Distal amyotrophy,Very frequent (99-80%),Clinodactyly of the 5th finger,Very frequent (99-80%)
3424,Velo-facial-skeletal syndrome,Malformation syndrome,Abnormality of the dentition,Frequent (79-30%),Narrow face,Frequent (79-30%),Long face,Very frequent (99-80%),Epicanthus,Very frequent (99-80%),Hypertelorism,Frequent (79-30%),Facial asymmetry,Frequent (79-30%),Wide nasal bridge,Very frequent (99-80%),Thickened nuchal skin fold,Frequent (79-30%),Telecanthus,Frequent (79-30%),Abnormal thumb morphology,Frequent (79-30%),Large hands,Frequent (79-30%),Prominent fingertip pads,Frequent (79-30%)
3429,Verloove Vanhorick-Brubakk syndrome,Malformation syndrome,Cryptorchidism,Very frequent (99-80%),Cleft palate,Very frequent (99-80%),Micrognathia,Very frequent (99-80%),Low-set ears,Very frequent (99-80%),Atresia of the external auditory canal,Very frequent (99-80%),Abnormality of the parathyroid gland,Very frequent (99-80%),Abnormality of the metacarpal bones,Very frequent (99-80%),Malformation of the heart and great vessels,Very frequent (99-80%),Abnormality of pelvic girdle bone morphology,Very frequent (99-80%),Abnormality of femur morphology,Very frequent (99-80%),Abnormal form of the vertebral bodies,Very frequent (99-80%),Finger syndactyly,Frequent (79-30%)
3449,Weill-Marchesani syndrome,Malformation syndrome,Glaucoma,Very frequent (99-80%),Cataract,Occasional (29-5%),Visual loss,Occasional (29-5%),Thickened skin,Frequent (79-30%),Ectopia lentis,Frequent (79-30%),Brachydactyly,Very frequent (99-80%),"Intellectual disability, mild",Occasional (29-5%),Limitation of joint mobility,Frequent (79-30%),Ventricular septal defect,Occasional (29-5%),Pulmonic stenosis,Occasional (29-5%),Aortic valve stenosis,Occasional (29-5%),Mitral regurgitation,Occasional (29-5%)
1759,Thoraco-abdominal enteric duplication,Malformation syndrome,Missing ribs,Very frequent (99-80%),Dextrocardia,Very frequent (99-80%),Abnormal tricuspid valve morphology,Very frequent (99-80%),Respiratory insufficiency,Very frequent (99-80%),Hepatomegaly,Very frequent (99-80%),Meningocele,Very frequent (99-80%),Intestinal malrotation,Very frequent (99-80%),Abnormal dermatoglyphics,Very frequent (99-80%),Camptodactyly of finger,Very frequent (99-80%),Asymmetric growth,Very frequent (99-80%),Diastomatomyelia,Very frequent (99-80%),Duodenal stenosis,Very frequent (99-80%)
1827,Acromelic frontonasal dysplasia,Malformation syndrome,Large fontanelles,Very frequent (99-80%),Brachycephaly,Very frequent (99-80%),Hypertelorism,Very frequent (99-80%),Broad nasal tip,Very frequent (99-80%),Bifid nasal tip,Very frequent (99-80%),Telecanthus,Very frequent (99-80%),Intellectual disability,Very frequent (99-80%),Global developmental delay,Very frequent (99-80%),Agenesis of corpus callosum,Very frequent (99-80%),Talipes equinovarus,Very frequent (99-80%),Preaxial foot polydactyly,Very frequent (99-80%),Abnormality of the glabella,Very frequent (99-80%)
1778,Facial dysmorphism-shawl scrotum-joint laxity syndrome,Malformation syndrome,Cryptorchidism,Very frequent (99-80%),Shawl scrotum,Very frequent (99-80%),Large fontanelles,Frequent (79-30%),Epicanthus,Very frequent (99-80%),Mandibular prognathia,Frequent (79-30%),Hypertelorism,Very frequent (99-80%),Smooth philtrum,Very frequent (99-80%),Low-set ears,Very frequent (99-80%),Protruding ear,Very frequent (99-80%),Wide nasal bridge,Very frequent (99-80%),Downslanted palpebral fissures,Very frequent (99-80%),Telecanthus,Very frequent (99-80%)
2547,Microphthalmia-microtia-fetal akinesia syndrome,Malformation syndrome,Abnormality of the bladder,Frequent (79-30%),Hydroureter,Frequent (79-30%),Micrognathia,Very frequent (99-80%),Microphthalmia,Very frequent (99-80%),Limitation of joint mobility,Very frequent (99-80%),Polyhydramnios,Frequent (79-30%),Patent ductus arteriosus,Very frequent (99-80%),Frontal bossing,Very frequent (99-80%),Short nose,Very frequent (99-80%),Microtia,Very frequent (99-80%),Hypoplasia of penis,Frequent (79-30%),Symphalangism affecting the phalanges of the hand,Frequent (79-30%)
2058,Fryns-Smeets-Thiry syndrome,Malformation syndrome,Wide mouth,Very frequent (99-80%),Thick lower lip vermilion,Very frequent (99-80%),Everted lower lip vermilion,Very frequent (99-80%),Microcephaly,Very frequent (99-80%),Short philtrum,Very frequent (99-80%),Micrognathia,Very frequent (99-80%),Prominent nasal bridge,Very frequent (99-80%),Narrow nasal bridge,Very frequent (99-80%),Arachnodactyly,Very frequent (99-80%),Intellectual disability,Very frequent (99-80%),Muscular hypotonia,Very frequent (99-80%),Disproportionate tall stature,Very frequent (99-80%)
1192,Atherosclerosis-deafness-diabetes-epilepsy-nephropathy syndrome,Malformation syndrome,Cryptorchidism,Frequent (79-30%),Proteinuria,Frequent (79-30%),Nephrotic syndrome,Frequent (79-30%),Nephropathy,Frequent (79-30%),Sensorineural hearing impairment,Very frequent (99-80%),Hypertension,Frequent (79-30%),Hypertonia,Frequent (79-30%),Gait disturbance,Frequent (79-30%),Photomyoclonic seizures,Very frequent (99-80%),Tremor,Frequent (79-30%),Limitation of joint mobility,Frequent (79-30%),Abnormal mitral valve morphology,Frequent (79-30%)
2349,Muscular pseudohypertrophy-hypothyroidism syndrome,Disease,Macroglossia,Very frequent (99-80%),Coarse facial features,Very frequent (99-80%),Hypothyroidism,Very frequent (99-80%),Jaundice,Very frequent (99-80%),Gait disturbance,Very frequent (99-80%),Muscle weakness,Very frequent (99-80%),Umbilical hernia,Very frequent (99-80%),Constipation,Very frequent (99-80%),Neurological speech impairment,Very frequent (99-80%),Sleep disturbance,Very frequent (99-80%),Myopathy,Very frequent (99-80%),Myalgia,Very frequent (99-80%)
2062,Progressive non-infectious anterior vertebral fusion,Malformation syndrome,Tall stature,Occasional (29-5%),Wide mouth,Very frequent (99-80%),Thin vermilion border,Very frequent (99-80%),Brachycephaly,Very frequent (99-80%),Round face,Very frequent (99-80%),Hypertelorism,Very frequent (99-80%),Short philtrum,Very frequent (99-80%),Micrognathia,Very frequent (99-80%),Wide nasal bridge,Very frequent (99-80%),Downslanted palpebral fissures,Very frequent (99-80%),Abnormality of the vertebral column,Very frequent (99-80%),Thickened skin,Very frequent (99-80%)
1779,Dysmorphism-cleft palate-loose skin syndrome,Malformation syndrome,Tall stature,Very frequent (99-80%),Cleft palate,Very frequent (99-80%),Trigonocephaly,Very frequent (99-80%),Narrow face,Very frequent (99-80%),Long face,Very frequent (99-80%),Epicanthus,Very frequent (99-80%),Micrognathia,Very frequent (99-80%),Thickened nuchal skin fold,Very frequent (99-80%),Intellectual disability,Very frequent (99-80%),Muscular hypotonia,Very frequent (99-80%),Hyperreflexia,Very frequent (99-80%),Redundant skin,Very frequent (99-80%)
